,set,p,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
90,type1_1,10,4,0.0,0.0,0,0.04,mse,0.1375,0.3625,0.375,,,0.0,0.0
91,type1_2,10,4,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
92,type1_2,10,4,0.0,1.0,0,0.0,mse,,,,0.0,0.0,0.0,
93,type1_2,10,4,0.0,2.0,0,0.0,mse,,,,0.0,0.0,0.0,
94,type1_2,10,4,0.0,3.0,0,0.0,mse,,,,0.2,0.0,0.1,
95,type1_2,10,4,0.0,4.0,0,0.0,mse,,,,0.2,0.0,0.1,
96,type1_2,10,4,0.0,5.0,0,0.0,mse,,,,0.2,0.0,0.1,
97,type1_2,10,4,0.0,6.0,0,0.0,mse,,,,0.2,0.0,0.1,
98,power,10,4,0.0,0.0,0,0.0,mse,,,,,0.1,0.025,0.0375
99,power,10,4,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1375,0.1,0.2
100,power,10,4,0.16666666666666666,0.0,0,0.0,mse,,,,,0.7,0.4,0.4
101,power,10,4,0.25,0.0,0,0.0,mse,,,,,0.9,0.4,0.6
102,power,10,4,0.3333333333333333,0.0,0,0.0,mse,,,,,1.0,0.5,0.8
103,power,10,4,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,0.9
104,power,10,4,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
105,type1_1,10,5,0.0,0.0,0,0.0,mse,0.0375,0.0,0.0375,,,0.0,0.0
106,type1_1,10,5,0.0,0.0,0,0.006666666666666667,mse,0.0,0.0,0.0375,,,0.0,0.1
107,type1_1,10,5,0.0,0.0,0,0.013333333333333334,mse,0.1,0.0,0.0,,,0.0,0.2
108,type1_1,10,5,0.0,0.0,0,0.02,mse,0.1,0.2375,0.2,,,0.0,0.1
109,type1_1,10,5,0.0,0.0,0,0.02666666666666667,mse,0.1,0.3375,0.3,,,0.0,0.1
110,type1_1,10,5,0.0,0.0,0,0.03333333333333333,mse,0.2,0.5375,0.4,,,0.0,0.1
