,set,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
164,power,3,0.25,0.0,10,0.0,mae,,,,,0.9,0.65,0.91
165,power,3,0.3333333333333333,0.0,10,0.0,mae,,,,,0.99,0.81,1.0
166,power,3,0.41666666666666663,0.0,10,0.0,mae,,,,,1.0,0.9,1.0
167,power,3,0.5,0.0,10,0.0,mae,,,,,1.0,1.0,1.0
168,type1_1,4,0.0,0.0,10,0.0,mse,0.01,0.0,0.0,0.16,0.08,0.16,0.0
169,type1_1,4,0.0,0.0,10,0.006666666666666667,mse,0.51,0.82,0.75,0.09,0.09,0.08,0.0
170,type1_1,4,0.0,0.0,10,0.013333333333333334,mse,0.91,1.0,1.0,0.09,0.08,0.08,0.0
171,type1_1,4,0.0,0.0,10,0.02,mse,1.0,1.0,1.0,0.09,0.08,0.08,0.0
172,type1_1,4,0.0,0.0,10,0.02666666666666667,mse,1.0,1.0,1.0,0.09,0.08,0.08,0.0
173,type1_1,4,0.0,0.0,10,0.03333333333333333,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.0
174,type1_1,4,0.0,0.0,10,0.04,mse,1.0,1.0,1.0,0.08,0.08,0.08,0.0
175,type1_2,4,0.0,0.0,10,0.0,mse,,,,0.01,0.08,0.08,0.16
176,type1_2,4,0.0,1.0,10,0.0,mse,,,,0.41,0.08,0.08,0.16
177,type1_2,4,0.0,2.0,10,0.0,mse,,,,0.57,0.08,0.16,0.16
178,type1_2,4,0.0,3.0,10,0.0,mse,,,,0.57,0.08,0.16,0.16
179,type1_2,4,0.0,4.0,10,0.0,mse,,,,0.57,0.08,0.16,0.16
180,type1_2,4,0.0,5.0,10,0.0,mse,,,,0.57,0.08,0.16,0.16
181,type1_2,4,0.0,6.0,10,0.0,mse,,,,0.57,0.08,0.16,0.16
182,power,4,0.0,0.0,10,0.0,mse,,,,,0.01,0.17,0.0
183,power,4,0.08333333333333333,0.0,10,0.0,mse,,,,,0.25,0.33,0.16
184,power,4,0.16666666666666666,0.0,10,0.0,mse,,,,,0.81,0.49,0.74
185,power,4,0.25,0.0,10,0.0,mse,,,,,0.98,0.73,0.99
186,power,4,0.3333333333333333,0.0,10,0.0,mse,,,,,0.99,0.9,1.0
187,power,4,0.41666666666666663,0.0,10,0.0,mse,,,,,1.0,0.92,1.0
188,power,4,0.5,0.0,10,0.0,mse,,,,,1.0,1.0,1.0
189,type1_1,4,0.0,0.0,10,0.0,mae,0.08,0.0,0.0,0.16,0.08,0.16,0.0
190,type1_1,4,0.0,0.0,10,0.006666666666666667,mae,0.57,0.82,0.75,0.09,0.09,0.09,0.0
191,type1_1,4,0.0,0.0,10,0.013333333333333334,mae,0.99,1.0,1.0,0.09,0.08,0.09,0.0
192,type1_1,4,0.0,0.0,10,0.02,mae,1.0,1.0,1.0,0.09,0.08,0.08,0.0
193,type1_1,4,0.0,0.0,10,0.02666666666666667,mae,1.0,1.0,1.0,0.09,0.08,0.08,0.0
194,type1_1,4,0.0,0.0,10,0.03333333333333333,mae,1.0,1.0,1.0,0.08,0.08,0.08,0.0
195,type1_1,4,0.0,0.0,10,0.04,mae,1.0,1.0,1.0,0.08,0.08,0.08,0.0
196,type1_2,4,0.0,0.0,10,0.0,mae,,,,0.01,0.08,0.01,0.16
197,type1_2,4,0.0,1.0,10,0.0,mae,,,,0.41,0.08,0.4,0.16
198,type1_2,4,0.0,2.0,10,0.0,mae,,,,0.57,0.08,0.4,0.16
199,type1_2,4,0.0,3.0,10,0.0,mae,,,,0.57,0.08,0.4,0.16
200,type1_2,4,0.0,4.0,10,0.0,mae,,,,0.57,0.08,0.4,0.16
201,type1_2,4,0.0,5.0,10,0.0,mae,,,,0.57,0.08,0.4,0.16
202,type1_2,4,0.0,6.0,10,0.0,mae,,,,0.57,0.08,0.4,0.16
203,power,4,0.0,0.0,10,0.0,mae,,,,,0.01,0.1,0.0
204,power,4,0.08333333333333333,0.0,10,0.0,mae,,,,,0.25,0.17,0.17
205,power,4,0.16666666666666666,0.0,10,0.0,mae,,,,,0.81,0.41,0.65
206,power,4,0.25,0.0,10,0.0,mae,,,,,0.98,0.57,0.91
207,power,4,0.3333333333333333,0.0,10,0.0,mae,,,,,0.99,0.81,1.0
208,power,4,0.41666666666666663,0.0,10,0.0,mae,,,,,1.0,0.9,1.0
209,power,4,0.5,0.0,10,0.0,mae,,,,,1.0,1.0,1.0
210,type1_1,5,0.0,0.0,10,0.0,mse,0.16,0.0,0.08,0.08,0.0,0.08,0.0
211,type1_1,5,0.0,0.0,10,0.006666666666666667,mse,0.51,0.76,0.84,0.09,0.17,0.08,0.0
212,type1_1,5,0.0,0.0,10,0.013333333333333334,mse,0.92,1.0,1.0,0.09,0.17,0.08,0.0
213,type1_1,5,0.0,0.0,10,0.02,mse,1.0,1.0,1.0,0.09,0.17,0.08,0.0
214,type1_1,5,0.0,0.0,10,0.02666666666666667,mse,1.0,1.0,1.0,0.09,0.17,0.08,0.0
215,type1_1,5,0.0,0.0,10,0.03333333333333333,mse,1.0,1.0,1.0,0.09,0.17,0.08,0.0
216,type1_1,5,0.0,0.0,10,0.04,mse,1.0,1.0,1.0,0.09,0.17,0.08,0.0
217,type1_2,5,0.0,0.0,10,0.0,mse,,,,0.0,0.01,0.08,0.0
218,type1_2,5,0.0,1.0,10,0.0,mse,,,,0.17,0.01,0.0,0.0
219,type1_2,5,0.0,2.0,10,0.0,mse,,,,0.33,0.01,0.16,0.0
220,type1_2,5,0.0,3.0,10,0.0,mse,,,,0.33,0.01,0.16,0.0
221,type1_2,5,0.0,4.0,10,0.0,mse,,,,0.33,0.01,0.16,0.0
222,type1_2,5,0.0,5.0,10,0.0,mse,,,,0.33,0.01,0.16,0.0
223,type1_2,5,0.0,6.0,10,0.0,mse,,,,0.33,0.01,0.16,0.0
224,power,5,0.0,0.0,10,0.0,mse,,,,,0.0,0.09,0.0
225,power,5,0.08333333333333333,0.0,10,0.0,mse,,,,,0.33,0.33,0.16
226,power,5,0.16666666666666666,0.0,10,0.0,mse,,,,,0.57,0.57,0.74
227,power,5,0.25,0.0,10,0.0,mse,,,,,0.84,0.81,0.99
228,power,5,0.3333333333333333,0.0,10,0.0,mse,,,,,1.0,0.9,1.0
229,power,5,0.41666666666666663,0.0,10,0.0,mse,,,,,1.0,1.0,1.0
230,power,5,0.5,0.0,10,0.0,mse,,,,,1.0,1.0,1.0
231,type1_1,5,0.0,0.0,10,0.0,mae,0.0,0.0,0.08,0.08,0.0,0.08,0.08
232,type1_1,5,0.0,0.0,10,0.006666666666666667,mae,0.43,0.76,0.84,0.09,0.17,0.09,0.0
233,type1_1,5,0.0,0.0,10,0.013333333333333334,mae,0.84,1.0,1.0,0.09,0.17,0.09,0.0
234,type1_1,5,0.0,0.0,10,0.02,mae,1.0,1.0,1.0,0.09,0.17,0.09,0.0
235,type1_1,5,0.0,0.0,10,0.02666666666666667,mae,1.0,1.0,1.0,0.09,0.17,0.09,0.0
236,type1_1,5,0.0,0.0,10,0.03333333333333333,mae,1.0,1.0,1.0,0.09,0.17,0.08,0.0
237,type1_1,5,0.0,0.0,10,0.04,mae,1.0,1.0,1.0,0.09,0.17,0.08,0.0
238,type1_2,5,0.0,0.0,10,0.0,mae,,,,0.0,0.01,0.01,0.0
239,type1_2,5,0.0,1.0,10,0.0,mae,,,,0.17,0.01,0.17,0.0
240,type1_2,5,0.0,2.0,10,0.0,mae,,,,0.33,0.01,0.24,0.0
241,type1_2,5,0.0,3.0,10,0.0,mae,,,,0.33,0.01,0.24,0.0
242,type1_2,5,0.0,4.0,10,0.0,mae,,,,0.33,0.01,0.24,0.0
243,type1_2,5,0.0,5.0,10,0.0,mae,,,,0.33,0.01,0.24,0.0
244,type1_2,5,0.0,6.0,10,0.0,mae,,,,0.33,0.01,0.32,0.0
245,power,5,0.0,0.0,10,0.0,mae,,,,,0.0,0.02,0.0
246,power,5,0.08333333333333333,0.0,10,0.0,mae,,,,,0.33,0.17,0.17
247,power,5,0.16666666666666666,0.0,10,0.0,mae,,,,,0.57,0.41,0.73
248,power,5,0.25,0.0,10,0.0,mae,,,,,0.84,0.57,0.99
249,power,5,0.3333333333333333,0.0,10,0.0,mae,,,,,1.0,0.81,0.99
250,power,5,0.41666666666666663,0.0,10,0.0,mae,,,,,1.0,0.9,1.0
251,power,5,0.5,0.0,10,0.0,mae,,,,,1.0,1.0,1.0
252,type1_1,6,0.0,0.0,10,0.0,mse,0.0,0.0,0.0,0.09,0.0,0.17,0.0
253,type1_1,6,0.0,0.0,10,0.006666666666666667,mse,0.49,0.9,0.75,0.09,0.08,0.09,0.0
254,type1_1,6,0.0,0.0,10,0.013333333333333334,mse,0.76,1.0,1.0,0.09,0.08,0.08,0.0
255,type1_1,6,0.0,0.0,10,0.02,mse,1.0,1.0,1.0,0.09,0.09,0.08,0.0
256,type1_1,6,0.0,0.0,10,0.02666666666666667,mse,1.0,1.0,1.0,0.09,0.09,0.08,0.0
257,type1_1,6,0.0,0.0,10,0.03333333333333333,mse,1.0,1.0,1.0,0.09,0.09,0.08,0.0
258,type1_1,6,0.0,0.0,10,0.04,mse,1.0,1.0,1.0,0.09,0.09,0.08,0.0
259,type1_2,6,0.0,0.0,10,0.0,mse,,,,0.08,0.0,0.08,0.0
260,type1_2,6,0.0,1.0,10,0.0,mse,,,,0.08,0.0,0.0,0.0
261,type1_2,6,0.0,2.0,10,0.0,mse,,,,0.4,0.0,0.0,0.0
262,type1_2,6,0.0,3.0,10,0.0,mse,,,,0.41,0.0,0.0,0.0
263,type1_2,6,0.0,4.0,10,0.0,mse,,,,0.42,0.0,0.0,0.0
264,type1_2,6,0.0,5.0,10,0.0,mse,,,,0.42,0.0,0.0,0.0
265,type1_2,6,0.0,6.0,10,0.0,mse,,,,0.42,0.0,0.0,0.0
266,power,6,0.0,0.0,10,0.0,mse,,,,,0.02,0.17,0.0
267,power,6,0.08333333333333333,0.0,10,0.0,mse,,,,,0.33,0.33,0.24
268,power,6,0.16666666666666666,0.0,10,0.0,mse,,,,,0.73,0.49,0.75
269,power,6,0.25,0.0,10,0.0,mse,,,,,0.98,0.81,1.0
270,power,6,0.3333333333333333,0.0,10,0.0,mse,,,,,0.99,0.9,1.0
271,power,6,0.41666666666666663,0.0,10,0.0,mse,,,,,1.0,0.92,1.0
272,power,6,0.5,0.0,10,0.0,mse,,,,,1.0,1.0,1.0
273,type1_1,6,0.0,0.0,10,0.0,mae,0.0,0.0,0.0,0.09,0.0,0.09,0.08
274,type1_1,6,0.0,0.0,10,0.006666666666666667,mae,0.49,0.9,0.75,0.09,0.08,0.09,0.0
275,type1_1,6,0.0,0.0,10,0.013333333333333334,mae,0.9,1.0,1.0,0.09,0.08,0.09,0.0
276,type1_1,6,0.0,0.0,10,0.02,mae,0.92,1.0,1.0,0.09,0.09,0.09,0.0
277,type1_1,6,0.0,0.0,10,0.02666666666666667,mae,1.0,1.0,1.0,0.09,0.09,0.09,0.0
278,type1_1,6,0.0,0.0,10,0.03333333333333333,mae,1.0,1.0,1.0,0.09,0.09,0.09,0.0
279,type1_1,6,0.0,0.0,10,0.04,mae,1.0,1.0,1.0,0.09,0.09,0.09,0.0
280,type1_2,6,0.0,0.0,10,0.0,mae,,,,0.08,0.0,0.0,0.0
281,type1_2,6,0.0,1.0,10,0.0,mae,,,,0.08,0.0,0.08,0.0
282,type1_2,6,0.0,2.0,10,0.0,mae,,,,0.4,0.0,0.08,0.0
283,type1_2,6,0.0,3.0,10,0.0,mae,,,,0.41,0.0,0.16,0.0
284,type1_2,6,0.0,4.0,10,0.0,mae,,,,0.42,0.0,0.16,0.0
285,type1_2,6,0.0,5.0,10,0.0,mae,,,,0.42,0.0,0.24,0.0
286,type1_2,6,0.0,6.0,10,0.0,mae,,,,0.42,0.0,0.24,0.0
287,power,6,0.0,0.0,10,0.0,mae,,,,,0.02,0.1,0.0
