,set,p,ba,c,theta,skew,u,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
92,power,30,0,0.2,0,0,0,0.0,mse,1.0,1.0,1.0,0.8520833333333333,0.78125,0.54375,0.8666666666666667,0.0006458391745885,0.096063232421875,0.0004563018679618,0.0175892839829127,0.589840475221475,0.000459311902523,0.7172451958060264
93,power,30,0,0.3,0,0,0,0.0,mse,1.0,1.0,1.0,0.9916666666666668,0.9666666666666668,0.7833333333333333,0.9791666666666666,0.000619293252627,0.0943349237243334,0.0004665836691856,0.0168590789039929,0.5693995078404744,0.0004436026016871,0.6681505993008614
94,power,30,0,0.4,0,0,0,0.0,mse,1.0,1.0,1.0,1.0,1.0,0.9291666666666668,1.0,0.0006545712550481,0.0957336937387784,0.0004534353812535,0.0173440530896186,0.5821302836139997,0.0004239484667778,0.6898327882091204
95,type1_sim,30,0,0.0,0,3,0,0.0,mse,,,,0.0958333333333333,0.1020833333333333,0.1145833333333333,,,,,0.0197110374768575,0.6518872057398161,0.0005086819330851,
96,type1_sim,30,0,0.0,0,3,0,0.005,mse,,,,0.1125,0.1083333333333333,0.1041666666666666,,,,,0.0166197856267293,0.5921636700630188,0.0004208380977312,
97,type1_sim,30,0,0.0,0,3,0,0.01,mse,,,,0.10625,0.1125,0.0916666666666666,,,,,0.0172283629576365,0.6084019616246223,0.000428040822347,
98,type1_sim,30,0,0.0,0,3,0,0.015,mse,,,,0.1041666666666666,0.1104166666666666,0.0875,,,,,0.016754367450873,0.5935667082667351,0.0004301990071932,
99,type1_sim,30,0,0.0,0,3,0,0.02,mse,,,,0.1104166666666666,0.1041666666666666,0.0854166666666666,,,,,0.0204621911048889,0.6515924180547397,0.000441042582194,
100,type1_sim,30,0,0.0,1,3,0,0.0,mse,,,,0.29375,0.1083333333333333,0.1291666666666666,,,,,0.0201915731032689,0.6459079191088677,0.0004860704143842,
101,type1_sim,30,0,0.0,1,3,0,0.005,mse,,,,0.5604166666666667,0.1083333333333333,0.1520833333333333,,,,,0.0177027702331542,0.6063713252544403,0.0004697481791178,
102,type1_sim,30,0,0.0,1,3,0,0.01,mse,,,,0.5604166666666667,0.1104166666666666,0.1541666666666666,,,,,0.017902738849322,0.6158295596639315,0.0004390651981035,
103,type1_sim,30,0,0.0,1,3,0,0.015,mse,,,,0.5791666666666667,0.1083333333333333,0.1520833333333333,,,,,0.0189394935965538,0.615491217871507,0.0004554862777392,
104,type1_sim,30,0,0.0,1,3,0,0.02,mse,,,,0.5875,0.1166666666666666,0.1520833333333333,,,,,0.0204053392012914,0.625671637058258,0.0004309207201004,
105,type1_sim,30,0,0.0,2,3,0,0.0,mse,,,,0.3979166666666666,0.1,0.1458333333333333,,,,,0.0208672727147738,0.6378060673673948,0.0004516174395879,
106,type1_sim,30,0,0.0,2,3,0,0.005,mse,,,,0.7791666666666667,0.1041666666666666,0.1791666666666666,,,,,0.0187031676371892,0.6288834288716316,0.0004920616745948,
107,type1_sim,30,0,0.0,2,3,0,0.01,mse,,,,0.7958333333333333,0.1083333333333333,0.1958333333333333,,,,,0.0186947216590245,0.645482885837555,0.0004471808671951,
108,type1_sim,30,0,0.0,2,3,0,0.015,mse,,,,0.8208333333333333,0.1020833333333333,0.2125,,,,,0.018930693467458,0.6335156112909317,0.0004565065105756,
109,type1_sim,30,0,0.0,2,3,0,0.02,mse,,,,0.8354166666666667,0.1145833333333333,0.2416666666666666,,,,,0.0180423493186632,0.6060548509160678,0.0004393448432286,
110,type1_sim,30,0,0.0,3,3,0,0.0,mse,,,,0.4354166666666667,0.1020833333333333,0.1375,,,,,0.0186161731680234,0.6314522489905358,0.0004670307040214,
111,type1_sim,30,0,0.0,3,3,0,0.005,mse,,,,0.8458333333333333,0.1,0.1854166666666666,,,,,0.0176536108056704,0.6242378532886506,0.0004664828379948,
112,type1_sim,30,0,0.0,3,3,0,0.01,mse,,,,0.86875,0.1083333333333333,0.2333333333333333,,,,,0.0190283194184303,0.6351367026567459,0.000489467382431,
113,type1_sim,30,0,0.0,3,3,0,0.015,mse,,,,0.8875,0.10625,0.2708333333333333,,,,,0.0179259101549784,0.6290783618887266,0.0004482011000315,
114,type1_sim,30,0,0.0,3,3,0,0.02,mse,,,,0.9166666666666666,0.1125,0.3104166666666667,,,,,0.0182768498857816,0.6350082784891129,0.0004644493261973,
115,type1_sim,30,0,0.0,4,3,0,0.0,mse,,,,0.4541666666666666,0.1020833333333333,0.1416666666666666,,,,,0.0173948243260383,0.62019508232673,0.0004497841000556,
116,type1_sim,30,0,0.0,4,3,0,0.005,mse,,,,0.8833333333333333,0.1083333333333333,0.2166666666666666,,,,,0.019023751715819,0.6393333648641905,0.0004793380697568,
117,type1_sim,30,0,0.0,4,3,0,0.01,mse,,,,0.9104166666666668,0.1104166666666666,0.2583333333333333,,,,,0.0207490940888722,0.6985062325994174,0.0005989740292231,
118,type1_sim,30,0,0.0,4,3,0,0.015,mse,,,,0.9520833333333332,0.11875,0.31875,,,,,0.0178234393397967,0.6078144018848737,0.0004354154070218,
119,type1_sim,30,0,0.0,4,3,0,0.02,mse,,,,0.9729166666666668,0.10625,0.3666666666666666,,,,,0.0176084851225217,0.6103008930881818,0.0004248216748237,
120,type1_reg,30,0,0.0,0,3,0,0.0,mse,0.0583333333333333,0.1041666666666666,0.0895833333333333,,,0.1145833333333333,0.1083333333333333,0.0007756580909093,0.1124111344416936,0.0005368014176686,,,0.0004920095205307,0.8408329645792644
121,type1_reg,30,0,0.0,0,3,0,0.005,mse,0.5625,0.8541666666666666,0.88125,,,0.1041666666666666,0.10625,0.0008271684249242,0.119651527206103,0.0005614891648292,,,0.0005662346879641,0.8137725045283636
122,type1_reg,30,0,0.0,0,3,0,0.01,mse,0.95,0.9979166666666668,1.0,,,0.0916666666666666,0.1083333333333333,0.0008315871159235,0.1167445391416549,0.0005538408954938,,,0.0005378370483716,0.8383241514364879
123,type1_reg,30,0,0.0,0,3,0,0.015,mse,1.0,1.0,1.0,,,0.0875,0.1166666666666666,0.0006495470801989,0.093708283205827,0.0004473239183425,,,0.0004258945584297,0.9805434957146644
124,type1_reg,30,0,0.0,0,3,0,0.02,mse,1.0,1.0,1.0,,,0.0854166666666666,0.125,0.0008968924482663,0.1165572464466095,0.0005491609374682,,,0.0005370880166689,0.8411254853010177
