,set,p,ba,c,theta,skew,u,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
111,type1_1,40,4,0,0,0,100,0.005,mse,,,,,,,0.15208333333333332,,,,,,,0.6431247681379318
112,type1_1,40,4,0,0,0,100,0.01,mse,,,,,,,0.2,,,,,,,0.6503777652978897
113,type1_1,40,4,0,0,0,100,0.015,mse,,,,,,,0.24375,,,,,,,0.6473268235723177
114,type1_1,40,4,0,0,0,100,0.02,mse,,,,,,,0.3020833333333333,,,,,,,0.6483666693170865
115,type1_1,40,4,0,0,0,500,0.0,mse,,,,,,,0.12708333333333333,,,,,,,1.170933271944523
116,type1_1,40,4,0,0,0,500,0.005,mse,,,,,,,0.13541666666666666,,,,,,,1.1695127829909324
117,type1_1,40,4,0,0,0,500,0.01,mse,,,,,,,0.13958333333333334,,,,,,,1.1613580981890361
118,type1_1,40,4,0,0,0,500,0.015,mse,,,,,,,0.15,,,,,,,1.1515377660592396
119,type1_1,40,4,0,0,0,500,0.02,mse,,,,,,,0.15416666666666667,,,,,,,1.1800665467977525
120,type1_1,40,4,0,0,0,1000,0.0,mse,,,,,,,0.09791666666666667,,,,,,,2.1464460348089536
121,type1_1,40,4,0,0,0,1000,0.005,mse,,,,,,,0.10833333333333334,,,,,,,2.4434427271286645
122,type1_1,40,4,0,0,0,1000,0.01,mse,,,,,,,0.10833333333333334,,,,,,,2.237027484178543
123,type1_1,40,4,0,0,0,1000,0.015,mse,,,,,,,0.11041666666666666,,,,,,,2.1263910457491875
124,type1_1,40,4,0,0,0,1000,0.02,mse,,,,,,,0.11041666666666666,,,,,,,2.1522894904017447
